Name,Ticker,Weight,Sector,Shares Held
APPLE INC,AAPL,6.757246,Information Technology,190951209.0
NVIDIA CORP,NVDA,6.04454,Information Technology,309877671.0
MICROSOFT CORP,MSFT,6.003886,Information Technology,93921842.0
AMAZON.COM INC,AMZN,3.868495,Consumer Discretionary,118221457.0
META PLATFORMS INC CLASS A,META,2.742725,Communication Services,27539456.0
ALPHABET INC CL A,GOOGL,2.027587,Communication Services,73814475.0
BERKSHIRE HATHAWAY INC CL B,BRK.B,1.970585,Financials,23155758.0
BROADCOM INC,AVGO,1.905539,Information Technology,59003310.0
ALPHABET INC CL C,GOOG,1.671512,Communication Services,60123808.0
TESLA INC,TSLA,1.433098,Consumer Discretionary,35281381.0
JPMORGAN CHASE + CO,JPM,1.351717,Financials,35566943.0
ELI LILLY + CO,LLY,1.346721,Health Care,9954115.0
VISA INC CLASS A SHARES,V,1.210549,Financials,21831861.0
EXXON MOBIL CORP,XOM,1.018346,Energy,55525870.0
UNITEDHEALTH GROUP INC,UNH,0.944852,Health Care,11626771.0
MASTERCARD INC   A,MA,0.908519,Financials,10355775.0
PROCTER + GAMBLE CO/THE,PG,0.846561,Consumer Staples,29753372.0
COSTCO WHOLESALE CORP,COST,0.841364,Consumer Staples,5597593.0
JOHNSON + JOHNSON,JNJ,0.836719,Health Care,30417839.0
NETFLIX INC,NFLX,0.81132,Communication Services,5400438.0
ABBVIE INC,ABBV,0.797112,Health Care,22326264.0
WALMART INC,WMT,0.782052,Consumer Staples,54838923.0
HOME DEPOT INC,HD,0.735448,Consumer Discretionary,12549294.0
COCA COLA CO/THE,KO,0.571195,Consumer Staples,48972608.0
BANK OF AMERICA CORP,BAC,0.564552,Financials,84324120.0
SALESFORCE INC,CRM,0.553833,Information Technology,12076340.0
CHEVRON CORP,CVX,0.547286,Energy,21110782.0
MERCK + CO. INC.,MRK,0.510744,Health Care,31953416.0
CISCO SYSTEMS INC,CSCO,0.507037,Information Technology,50349335.0
ORACLE CORP,ORCL,0.505934,Information Technology,20302107.0
PHILIP MORRIS INTERNATIONAL,PM,0.498792,Consumer Staples,19639103.0
WELLS FARGO + CO,WFC,0.48592,Financials,42056956.0
INTL BUSINESS MACHINES CORP,IBM,0.484508,Information Technology,11679621.0
ABBOTT LABORATORIES,ABT,0.48026,Health Care,21908380.0
LINDE PLC,LIN,0.460087,Materials,6014537.0
MCDONALD S CORP,MCD,0.454464,Consumer Discretionary,9051537.0
GENERAL ELECTRIC,GE,0.443945,Industrials,13670626.0
PEPSICO INC,PEP,0.433842,Consumer Staples,17329383.0
ACCENTURE PLC CL A,ACN,0.422347,Unknown,7892666.0
THERMO FISHER SCIENTIFIC INC,TMO,0.414618,Health Care,4831617.0
AT+T INC,T,0.399209,Communication Services,90664291.0
VERIZON COMMUNICATIONS INC,VZ,0.392387,Communication Services,53191699.0
WALT DISNEY CO/THE,DIS,0.373951,Communication Services,22873633.0
RTX CORP,RTX,0.366727,Industrials,16818611.0
INTUITIVE SURGICAL INC,ISRG,0.362129,Information Technology,4500436.0
QUALCOMM INC,QCOM,0.359736,Information Technology,14028851.0
AMGEN INC,AMGN,0.358121,Health Care,6787266.0
SERVICENOW INC,NOW,0.356545,Unknown,2602982.0
ADOBE INC,ADBE,0.354564,Information Technology,5560270.0
GOLDMAN SACHS GROUP INC,GS,0.351205,Financials,3965225.0
PROGRESSIVE CORP,PGR,0.349049,Unknown,7402356.0
PALANTIR TECHNOLOGIES INC A,PLTR,0.347822,Unknown,25884785.0
INTUIT INC,INTU,0.347234,Information Technology,3539297.0
CATERPILLAR INC,CAT,0.342938,Industrials,6096446.0
